ibm
0001 00000000000000000000001101110110 10111010010100000011000000000000 10000000000000000000000000000001
0001 10000000000000000001010000000000 00000000100001000010111010111000 10000000000000000000000000000000
0001 00101110100000001110110001011100 10000100000010001000001001001010 10000000000000000000000000000000
0001 00010111001110111000000000000000 10001110110000010101011100000000 10000000000000000000000000000000
0001 00000011111010011110010000000110 10001101111010101101010100110100 10000000000000000000000000000000
0001 10000000000010100000000000000000 10010100110000101101101001111010 00000000000000000000000000000000
0001 10101100001101100010110110010110 10000011010001100010111001110100 00000000000000000000000000000000
0001 00001100000000000000000000000000 00101000010111100101110111101000 00000000000000000000000000000001
0001 00000000000000000000001101110110 10111010010100000011000000000000 11010100101101000010000110001000
0001 10000000000000000001010000000000 00000000100001000010111010111000 10011100001001010011101001100110
0001 00101110100000001110110001011100 10000100000010001000001001001010 11010011000010010111111001011100
0001 00010111001110111000000000000000 10001110110000010101011100000000 11000110100011011001101100111000
0001 00000011111010011110010000000110 10001101111010101101010100110100 10110010010101101000110100111000
0001 10000000000010100000000000000000 10010100110000101101101001111010 00110011111100111001000100011000
0001 10101100001101100010110110010110 10000011010001100010111001110100 01010000000011010000100001010001
0001 00001100000000000000000000000000 00101000010111100101110111101000 01010100110111100101110111101000
0101 10000010100000111110100111100111 01001101000001011101111100100100 10000000000000000000000000000001
0101 10101110110010001110100111111100 01111001100011011111101111101001 10000000000000000000000000000001
0101 10000101111001000111001000100101 01110011100000000000000000000000 10000000000000000000000000000000
0101 00001110011101011010100000000010 11101000000010111000000000000001 10000000000000000000000000000000
0101 10001101101011111000010011000101 11111001111100101010111110101001 00000000000000000000000000000000
0101 00010101100001011001010101100110 01101000100100001010010001010011 00000000000000000000000000000000
0101 10010011010101010000101000100001 11011101111010010011101011110110 00000000000000000000000000000001
0101 10000010100000111110100111100111 01001101000001011101111100100100 11010100111111000100000101111110
0101 10101110110010001110100111111100 01111001100011011111101111101001 11010100101101010010000000111111
0101 10000101111001000111001000100101 01110011100000000000000000000000 10110001111001000111001000100101
0101 00001110011101011010100000000010 11101000000010111000000000000001 11000101111000010110011110101111
0101 10001101101011111000010011000101 11111001111100101010111110101001 00110011001110010010010111001011
0101 00010101100001011001010101100110 01101000100100001010010001010011 01001100011011000110110110010100
0101 10010011010101010000101000100001 11011101111010010011101011110110 01010100111010011101011010001100
0100 10101100111101011000000000000000 10001011000100100000000000111101 10000000000000000000000010001101 10000000000000000000000000000001
0100 10110000001000001011111100111110 00001101101110011010101010101000 00000000000001110100100101010101 10000000000000000000000000000001
0100 10011100101001000000000000000001 00011010011100010010101110010001 00000000000000000000000000100110 10000000000000000000000000000001
0100 00001110000000000000000000000000 00011010000000000000000000000000 10000000000000000000000000000001 10000000000000000000000000000001
0100 00010111010100010100000000110101 00011100100010000000011110001000 10000000000000000000000000000001 10000000000000000000000000000001
0100 00001011101111001000010111110001 00101100101000000001011011101010 10000000000000000000000011101100 10000000000000000000000000000000
0100 10110001000011010001101110000101 00000011011110000000000000000000 00000000000000000000000000000001 10000000000000000000000000000000
0100 00101111111000110111010000000000 10000101100011111110000000000000 00000000000000000000000000000100 00000000000000000000000000000000
0100 00011011001101000010101101101100 10011001001010010010011011101110 00000000000000000000000000000001 00000000000000000000000000000000
0100 10010011010010100000000000000000 10100001011000100010010111100000 10000000000000000000000000000001 00000000000000000000000000000000
0100 10000000000000000000000101000000 10000100100110001000111101001110 00000000000000000000000000000000 00000000000000000000000000000000
0100 10001100010111101111100110010111 10110010010000000101100011101100 10000000000101001111000100010100 00000000000000000000000000000001
0100 10101110010100111001001010101010 00000111000000111111011111110001 00000000000000000000000000000100 00000000000000000000000000000001
0100 10101001111100101101101000000000 10010001110001111111101101010011 10000000000000000101111011011010 00000000000000000000000000000001
0100 10100011001011001000000101001010 10010001001010110010000000100010 00000000000000000000000000000000 00000000000000000000000000000001
0100 10011010001001110000110000111001 10100101001111100100100001000011 10000000001111100001010100011100 00000000000000000000000000000001
0100 10100011001111111111011100011100 00000101110011000000100101100000 00000000000000000000000000000001 00000000000000000000000000000001
0100 10101100111101011000000000000000 10001011000100100000000000111101 10000000000000000000000010001101 11010100111111001100010110000000
0100 10110000001000001011111100111110 00001101101110011010101010101000 00000000000001110100100101010101 11010100110001001010101011001011
0100 10011100101001000000000000000001 00011010011100010010101110010001 00000000000000000000000000100110 11010100100111111111101001110101
0100 00001110000000000000000000000000 00011010000000000000000000000000 10000000000000000000000000000001 11010101000000000000000000000000
0100 00010111010100010100000000110101 00011100100010000000011110001000 10000000000000000000000000000001 11010100100100001100111110111100
0100 00001011101111001000010111110001 00101100101000000001011011101010 10000000000000000000000011101100 11010011110110110100110001010111
0100 10110001000011010001101110000101 00000011011110000000000000000000 00000000000000000000000000000001 11010011000010110010101010001110
0100 00101111111000110111010000000000 10000101100011111110000000000000 00000000000000000000000000000100 01010001001011001011101000000000
0100 00011011001101000010101101101100 10011001001010010010011011101110 00000000000000000000000000000001 01010011000011110011111011111100
0100 10010011010010100000000000000000 10100001011000100010010111100000 10000000000000000000000000000001 01010100010010011100011110001011
0100 10000000000000000000000101000000 10000100100110001000111101001110 00000000000000000000000000000000 00011110001111101011001100100010
0100 10001100010111101111100110010111 10110010010000000101100011101100 10000000000101001111000100010100 01010100100100110011111111100110
0100 10101110010100111001001010101010 00000111000000111111011111110001 00000000000000000000000000000100 01010100100101110111100001001011
0100 10101001111100101101101000000000 10010001110001111111101101010011 10000000000000000101111011011010 01010100111100000011110101010111
0100 10100011001011001000000101001010 10010001001010110010000000100010 00000000000000000000000000000000 01010100111001101010000000000111
0100 10011010001001110000110000111001 10100101001111100100100001000011 10000000001111100001010100011100 01010100101110110001110101110110
0100 10100011001111111111011100011100 00000101110011000000100101100000 00000000000000000000000000000001 01010100111111111111111111111110
